season,team,team_name,spi_name,transfermarkt_name
2016-17,1,Arsenal,Arsenal,Arsenal FC
2016-17,2,Bournemouth,AFC Bournemouth,AFC Bournemouth
2016-17,3,Burnley,Burnley,Burnley FC
2016-17,4,Chelsea,Chelsea,Chelsea FC
2016-17,5,Crystal Palace,Crystal Palace,Crystal Palace
2016-17,6,Everton,Everton,Everton FC
2016-17,7,Hull,Hull City,Hull City
2016-17,8,Leicester,Leicester City,Leicester City
2016-17,9,Liverpool,Liverpool,Liverpool FC
2016-17,10,Man City,Manchester City,Manchester City
2016-17,11,Man Utd,Manchester United,Manchester United
2016-17,12,Middlesbrough,Middlesbrough,Middlesbrough FC
2016-17,13,Southampton,Southampton,Southampton FC
2016-17,14,Stoke,Stoke City,Stoke City
2016-17,15,Sunderland,Sunderland,Sunderland AFC
2016-17,16,Swansea,Swansea City,Swansea City
2016-17,17,Spurs,Tottenham Hotspur,Tottenham Hotspur
2016-17,18,Watford,Watford,Watford FC
2016-17,19,West Brom,West Bromwich Albion,West Bromwich Albion
2016-17,20,West Ham,West Ham United,West Ham United
2017-18,1,Arsenal,Arsenal,Arsenal FC
2017-18,2,Bournemouth,AFC Bournemouth,AFC Bournemouth
2017-18,3,Brighton,Brighton and Hove Albion,Brighton  Hove Albion
2017-18,4,Burnley,Burnley,Burnley FC
2017-18,5,Chelsea,Chelsea,Chelsea FC
2017-18,6,Crystal Palace,Crystal Palace,Crystal Palace
2017-18,7,Everton,Everton,Everton FC
2017-18,8,Huddersfield,Huddersfield Town,Huddersfield Town
2017-18,9,Leicester,Leicester City,Leicester City
2017-18,10,Liverpool,Liverpool,Liverpool FC
2017-18,11,Man City,Manchester City,Manchester City
2017-18,12,Man Utd,Manchester United,Manchester United
2017-18,13,Newcastle,Newcastle,Newcastle United
2017-18,14,Southampton,Southampton,Southampton FC
2017-18,15,Stoke,Stoke City,Stoke City
2017-18,16,Swansea,Swansea City,Swansea City
2017-18,17,Spurs,Tottenham Hotspur,Tottenham Hotspur
2017-18,18,Watford,Watford,Watford FC
2017-18,19,West Brom,West Bromwich Albion,West Bromwich Albion
2017-18,20,West Ham,West Ham United,West Ham United
2018-19,1,Arsenal,Arsenal,Arsenal FC
2018-19,2,Bournemouth,AFC Bournemouth,AFC Bournemouth
2018-19,3,Brighton,Brighton and Hove Albion,Brighton  Hove Albion
2018-19,4,Burnley,Burnley,Burnley FC
2018-19,5,Cardiff,Cardiff City,Cardiff City
2018-19,6,Chelsea,Chelsea,Chelsea FC
2018-19,7,Crystal Palace,Crystal Palace,Crystal Palace
2018-19,8,Everton,Everton,Everton FC
2018-19,9,Fulham,Fulham,Fulham FC
2018-19,10,Huddersfield,Huddersfield Town,Huddersfield Town
2018-19,11,Leicester,Leicester City,Leicester City
2018-19,12,Liverpool,Liverpool,Liverpool FC
2018-19,13,Man City,Manchester City,Manchester City
2018-19,14,Man Utd,Manchester United,Manchester United
2018-19,15,Newcastle,Newcastle,Newcastle United
2018-19,16,Southampton,Southampton,Southampton FC
2018-19,17,Spurs,Tottenham Hotspur,Tottenham Hotspur
2018-19,18,Watford,Watford,Watford FC
2018-19,19,West Ham,West Ham United,West Ham United
2018-19,20,Wolves,Wolverhampton,Wolverhampton Wanderers
2019-20,1,Arsenal,Arsenal,Arsenal FC
2019-20,2,Aston Villa,Aston Villa,Aston Villa
2019-20,3,Bournemouth,AFC Bournemouth,AFC Bournemouth
2019-20,4,Brighton,Brighton and Hove Albion,Brighton  Hove Albion
2019-20,5,Burnley,Burnley,Burnley FC
2019-20,6,Chelsea,Chelsea,Chelsea FC
2019-20,7,Crystal Palace,Crystal Palace,Crystal Palace
2019-20,8,Everton,Everton,Everton FC
2019-20,9,Leicester,Leicester City,Leicester City
2019-20,10,Liverpool,Liverpool,Liverpool FC
2019-20,11,Man City,Manchester City,Manchester City
2019-20,12,Man Utd,Manchester United,Manchester United
2019-20,13,Newcastle,Newcastle,Newcastle United
2019-20,14,Norwich,Norwich City,Norwich City
2019-20,15,Sheffield Utd,Sheffield United,Sheffield United
2019-20,16,Southampton,Southampton,Southampton FC
2019-20,17,Spurs,Tottenham Hotspur,Tottenham Hotspur
2019-20,18,Watford,Watford,Watford FC
2019-20,19,West Ham,West Ham United,West Ham United
2019-20,20,Wolves,Wolverhampton,Wolverhampton Wanderers
2020-21,1,Arsenal,Arsenal,Arsenal FC
2020-21,2,Aston Villa,Aston Villa,Aston Villa
2020-21,3,Brighton,Brighton and Hove Albion,Brighton  Hove Albion
2020-21,4,Burnley,Burnley,Burnley FC
2020-21,5,Chelsea,Chelsea,Chelsea FC
2020-21,6,Crystal Palace,Crystal Palace,Crystal Palace
2020-21,7,Everton,Everton,Everton FC
2020-21,8,Fulham,Fulham,Fulham FC
2020-21,9,Leicester,Leicester City,Leicester City
2020-21,10,Leeds,Leeds United,Leeds United
2020-21,11,Liverpool,Liverpool,Liverpool FC
2020-21,12,Man City,Manchester City,Manchester City
2020-21,13,Man Utd,Manchester United,Manchester United
2020-21,14,Newcastle,Newcastle,Newcastle United
2020-21,15,Sheffield Utd,Sheffield United,Sheffield United
2020-21,16,Southampton,Southampton,Southampton FC
2020-21,17,Spurs,Tottenham Hotspur,Tottenham Hotspur
2020-21,18,West Brom,West Bromwich Albion,West Bromwich Albion
2020-21,19,West Ham,West Ham United,West Ham United
2020-21,20,Wolves,Wolverhampton,Wolverhampton Wanderers
2021-22,1,Arsenal,Arsenal,Arsenal FC
2021-22,2,Aston Villa,Aston Villa,Aston Villa
2021-22,3,Brentford,Brentford,Brentford FC
2021-22,4,Brighton,Brighton and Hove Albion,Brighton  Hove Albion
2021-22,5,Burnley,Burnley,Burnley FC
2021-22,6,Chelsea,Chelsea,Chelsea FC
2021-22,7,Crystal Palace,Crystal Palace,Crystal Palace
2021-22,8,Everton,Everton,Everton FC
2021-22,9,Leicester,Leicester City,Leicester City
2021-22,10,Leeds,Leeds United,Leeds United
2021-22,11,Liverpool,Liverpool,Liverpool FC
2021-22,12,Man City,Manchester City,Manchester City
2021-22,13,Man Utd,Manchester United,Manchester United
2021-22,14,Newcastle,Newcastle,Newcastle United
2021-22,15,Norwich,Norwich City,Norwich City
2021-22,16,Southampton,Southampton,Southampton FC
2021-22,17,Spurs,Tottenham Hotspur,Tottenham Hotspur
2021-22,18,Watford,Watford,Watford FC
2021-22,19,West Ham,West Ham United,West Ham United
2021-22,20,Wolves,Wolverhampton,Wolverhampton Wanderers
2022-23,1,Arsenal,Arsenal,Arsenal FC
2022-23,2,Aston Villa,Aston Villa,Aston Villa
2022-23,3,Brentford,Brentford,Brentford FC
2022-23,4,Brighton,Brighton and Hove Albion,Brighton  Hove Albion
2022-23,5,Chelsea,Chelsea,Chelsea FC
2022-23,6,Crystal Palace,Crystal Palace,Crystal Palace
2022-23,7,Everton,Everton,Everton FC
2022-23,8,Fulham,Fulham,Fulham FC
2022-23,9,Huddersfield,Huddersfield Town,Huddersfield Town
2022-23,10,Leicester,Leicester City,Leicester City
2022-23,11,Leeds,Leeds United,Leeds United
2022-23,12,Liverpool,Liverpool,Liverpool FC
2022-23,13,Man City,Manchester City,Manchester City
2022-23,14,Man Utd,Manchester United,Manchester United
2022-23,15,Newcastle,Newcastle,Newcastle United
2022-23,16,Nottingham Forest,Nottingham Forest,Nottingham Forest
2022-23,17,Southampton,Southampton,Southampton FC
2022-23,18,Spurs,Tottenham Hotspur,Tottenham Hotspur
2022-23,19,West Ham,West Ham United,West Ham United
2022-23,20,Wolves,Wolverhampton,Wolverhampton Wanderers
